name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Cédric,ARS,DEF,4.5,Available,0,0,0,0.0,0.3
Xhaka,ARS,MID,5.0,Available,90,2,0,2.0,0.7
Elneny,ARS,MID,4.5,Available,0,0,0,0.0,1.0
Holding,ARS,DEF,4.5,Available,0,0,0,0.0,0.2
Partey,ARS,MID,5.0,Available,90,3,0,3.0,0.6
Ødegaard,ARS,MID,6.5,Available,90,3,0,3.0,13.8
Tierney,ARS,DEF,5.0,Available,7,1,0,1.0,1.2
Pépé,ARS,MID,5.5,Available,0,0,0,0.0,0.4
White,ARS,DEF,4.5,Available,90,5,0,5.0,6.5
Nketiah,ARS,FWD,7.0,Available,7,1,0,1.0,0.7
Smith Rowe,ARS,MID,6.0,Doubtful,0,0,0,0.0,1.3
Saka,ARS,MID,8.0,Available,90,6,0,6.0,22.1
Tomiyasu,ARS,DEF,4.5,Doubtful,0,0,0,0.0,1.7
Ramsdale,ARS,GKP,5.0,Available,90,6,0,6.0,15.3
Gabriel,ARS,DEF,5.0,Available,90,7,1,7.0,8.6
Tavares,ARS,DEF,4.5,NotAvail,0,0,0,0.0,0.0
Sambi,ARS,MID,4.5,Available,1,1,0,1.0,0.3
Martinelli,ARS,MID,6.0,Available,90,8,0,8.0,24.8
Pablo Marí,ARS,DEF,4.5,Available,0,0,0,0.0,0.1
Maitland-Niles,ARS,MID,5.0,Available,0,0,0,0.0,0.1
Torreira,ARS,MID,4.5,Available,0,0,0,0.0,0.5
Nelson,ARS,MID,5.0,Available,0,0,0,0.0,0.0
Turner,ARS,GKP,4.0,Available,0,0,0,0.0,0.8
Fábio Vieira,ARS,MID,6.0,Doubtful,0,0,0,0.0,0.1
Saliba,ARS,DEF,4.5,Available,90,8,2,8.0,4.2
Marquinhos,ARS,MID,5.0,Available,0,0,0,0.0,0.1
Jesus,ARS,FWD,8.0,Available,82,2,0,2.0,72.6
Zinchenko,ARS,DEF,5.1,Available,82,12,3,12.0,21.9
Coutinho,AVL,MID,7.0,Available,81,2,0,2.0,16.3
Ings,AVL,FWD,7.0,Available,65,1,0,1.0,2.1
Martínez,AVL,GKP,5.0,Available,90,1,0,1.0,5.9
Chambers,AVL,DEF,4.5,Available,0,0,0,0.0,0.3
Digne,AVL,DEF,5.0,Available,90,1,0,1.0,4.1
Traoré,AVL,MID,5.0,Available,0,0,0,0.0,0.2
Olsen,AVL,GKP,4.0,Available,0,0,0,0.0,2.0
Sanson,AVL,MID,4.5,Available,0,0,0,0.0,0.3
McGinn,AVL,MID,5.5,Available,90,2,0,2.0,1.9
Hause,AVL,DEF,4.5,Injured,0,0,0,0.0,0.0
Mings,AVL,DEF,4.5,Available,0,0,0,0.0,6.4
Watkins,AVL,FWD,7.5,Available,24,1,0,1.0,3.5
Nakamba,AVL,MID,4.5,Available,0,0,0,0.0,0.2
Buendía,AVL,MID,6.0,Available,45,1,0,1.0,0.5
Cash,AVL,DEF,5.0,Available,90,1,0,1.0,18.4
Konsa,AVL,DEF,4.5,Available,90,1,0,1.0,0.3
Bailey,AVL,MID,5.0,Available,90,2,0,2.0,17.5
Douglas Luiz,AVL,MID,5.0,Available,8,0,0,0.0,0.7
Ramsey,AVL,MID,5.5,Available,45,0,0,0.0,2.0
Iroegbunam,AVL,MID,4.5,Available,0,0,0,0.0,0.0
Diego Carlos,AVL,DEF,5.0,Available,90,1,0,1.0,1.1
El Ghazi,AVL,MID,5.0,Available,0,0,0,0.0,0.1
Davis,AVL,FWD,5.5,Doubtful,0,0,0,0.0,0.2
Kamara,AVL,MID,5.0,Available,81,2,0,2.0,0.2
Archer,AVL,FWD,4.5,Available,8,1,0,1.0,7.7
Philogene-Bidace,AVL,MID,4.5,NotAvail,0,0,0,0.0,0.0
Guilbert,AVL,DEF,4.0,Available,0,0,0,0.0,0.9
Augustinsson,AVL,DEF,4.5,Available,0,0,0,0.0,0.1
Kesler Hayden,AVL,DEF,4.0,Available,0,0,0,0.0,0.2
Young,AVL,DEF,4.5,Available,0,0,0,0.0,0.1
Smith,BOU,DEF,4.5,Available,90,5,0,5.0,0.2
Stanislas,BOU,MID,5.0,Available,1,1,0,1.0,0.1
Fredericks,BOU,DEF,4.5,Injured,0,0,0,0.0,0.0
Brooks,BOU,MID,5.5,Doubtful,0,0,0,0.0,0.0
